scrape_date,rank,title,year,rating,imdb_id,imdb_url,genres
2026-04-24T13:18:57.886243,1,Project Hail Mary,2026,8.3,tt12042730,https://www.imdb.com/title/tt12042730/,
2026-04-24T13:18:57.886243,2,The Mummy,2026,6.4,tt32612507,https://www.imdb.com/title/tt32612507/,
2026-04-24T13:18:57.886243,3,Street Fighter,2026,,tt27419420,https://www.imdb.com/title/tt27419420/,
2026-04-24T13:18:57.886243,4,Thrash,2026,5,tt32362890,https://www.imdb.com/title/tt32362890/,
2026-04-24T13:18:57.886243,5,Roommates,2026,5.6,tt37540875,https://www.imdb.com/title/tt37540875/,
2026-04-24T13:18:57.886243,6,The Super Mario Galaxy Movie,2026,6.4,tt28650488,https://www.imdb.com/title/tt28650488/,
2026-04-24T13:18:57.886243,7,The Drama,2026,7.5,tt33071426,https://www.imdb.com/title/tt33071426/,
2026-04-24T13:18:57.886243,8,Balls Up,2026,4.6,tt26735622,https://www.imdb.com/title/tt26735622/,
2026-04-24T13:18:57.886243,9,Crime 101,2026,6.8,tt32430579,https://www.imdb.com/title/tt32430579/,
2026-04-24T13:18:57.886243,10,Michael,2026,7.6,tt11378946,https://www.imdb.com/title/tt11378946/,
2026-04-24T13:18:57.886243,11,Outcome,2026,4.5,tt23724682,https://www.imdb.com/title/tt23724682/,
2026-04-24T13:18:57.886243,12,La Femme de ménage,2025,6.7,tt27543632,https://www.imdb.com/title/tt27543632/,
2026-04-24T13:18:57.886243,13,Ready or Not 2: Here I Come,2026,6.7,tt33978029,https://www.imdb.com/title/tt33978029/,
2026-04-24T13:18:57.886243,14,Dhurandhar: The Revenge,2026,8.5,tt39139925,https://www.imdb.com/title/tt39139925/,
2026-04-24T13:18:57.886243,15,Send Help,2026,6.8,tt8036976,https://www.imdb.com/title/tt8036976/,
2026-04-24T13:18:57.886243,16,180,2026,4.5,tt40891145,https://www.imdb.com/title/tt40891145/,
2026-04-24T13:18:57.886243,17,Focker-in-Law,2026,,tt34966140,https://www.imdb.com/title/tt34966140/,
2026-04-24T13:18:57.886243,18,The Legend of Aang: The Last Airbender,2026,,tt18259538,https://www.imdb.com/title/tt18259538/,
2026-04-24T13:18:57.886243,19,Undertone,2025,6,tt35892608,https://www.imdb.com/title/tt35892608/,
2026-04-24T13:18:57.886243,20,Normal,2025,6.8,tt31195136,https://www.imdb.com/title/tt31195136/,
2026-04-24T13:18:57.886243,21,One Battle After Another,2025,7.7,tt30144839,https://www.imdb.com/title/tt30144839/,
2026-04-24T13:18:57.886243,22,Jack Ryan: Ghost War,2026,,tt34378301,https://www.imdb.com/title/tt34378301/,
2026-04-24T13:18:57.886243,23,Toaster,2026,4.6,tt34498610,https://www.imdb.com/title/tt34498610/,
2026-04-24T13:18:57.886243,24,The Hunger Games: Sunrise on the Reaping,2026,,tt32558705,https://www.imdb.com/title/tt32558705/,
2026-04-24T13:18:57.886243,25,Avengers: Doomsday,2026,,tt21357150,https://www.imdb.com/title/tt21357150/,
2026-04-24T13:18:57.886243,26,Reminders of Him,2026,6.3,tt33714084,https://www.imdb.com/title/tt33714084/,
2026-04-24T13:18:57.886243,27,Dust Bunny,2025,6.5,tt23172090,https://www.imdb.com/title/tt23172090/,
2026-04-24T13:18:57.886243,28,Avatar: Fire and Ash,2025,7.3,tt1757678,https://www.imdb.com/title/tt1757678/,
2026-04-24T13:18:57.886243,29,Weapons,2025,7.4,tt26581740,https://www.imdb.com/title/tt26581740/,
2026-04-24T13:18:57.886243,30,The Running Man,2025,6.4,tt14107334,https://www.imdb.com/title/tt14107334/,
2026-04-24T13:18:57.886243,31,War Machine,2026,6.3,tt15940132,https://www.imdb.com/title/tt15940132/,
2026-04-24T13:18:57.886243,32,Busboys,2026,5.1,tt34705112,https://www.imdb.com/title/tt34705112/,
2026-04-24T13:18:57.886243,33,"Good Luck, Have Fun, Don't Die",2025,7,tt1341338,https://www.imdb.com/title/tt1341338/,
2026-04-24T13:18:57.886243,34,Bhooth Bangla,2026,7.2,tt29540862,https://www.imdb.com/title/tt29540862/,
2026-04-24T13:18:57.886243,35,Reconnu coupable,2026,6.2,tt31050594,https://www.imdb.com/title/tt31050594/,
2026-04-24T13:18:57.886243,36,Sinners,2025,7.5,tt31193180,https://www.imdb.com/title/tt31193180/,
2026-04-24T13:18:57.886243,37,Jumpers,2026,7.4,tt26443616,https://www.imdb.com/title/tt26443616/,
2026-04-24T13:18:57.886243,38,Anaconda,2025,5.6,tt33244668,https://www.imdb.com/title/tt33244668/,
2026-04-24T13:18:57.886243,39,Nuremberg,2025,7.4,tt29567915,https://www.imdb.com/title/tt29567915/,
2026-04-24T13:18:57.886243,40,Mike & Nick & Nick & Alice,2026,6.2,tt27552099,https://www.imdb.com/title/tt27552099/,
2026-04-24T13:18:57.886243,41,Hurlevent,2026,6.1,tt32897959,https://www.imdb.com/title/tt32897959/,
2026-04-24T13:18:57.886243,42,28 Years Later: The Bone Temple,2026,7.3,tt32141377,https://www.imdb.com/title/tt32141377/,
2026-04-24T13:18:57.886243,43,Peaky Blinders: The Immortal Man,2026,6.5,tt15574124,https://www.imdb.com/title/tt15574124/,
2026-04-24T13:18:57.886243,44,Interstellar,2014,8.7,tt0816692,https://www.imdb.com/title/tt0816692/,
2026-04-24T13:18:57.886243,45,Mother Mary,2026,5.1,tt27200708,https://www.imdb.com/title/tt27200708/,
2026-04-24T13:18:57.886243,46,Ready or Not,2019,6.9,tt7798634,https://www.imdb.com/title/tt7798634/,
2026-04-24T13:18:57.886243,47,The Dog Stars,2026,,tt21285562,https://www.imdb.com/title/tt21285562/,
2026-04-24T13:18:57.886243,48,The Lord of the Rings: The Hunt for Gollum,2027,,tt32328070,https://www.imdb.com/title/tt32328070/,
2026-04-24T13:18:57.886243,49,Ballistic,2025,4.7,tt13165898,https://www.imdb.com/title/tt13165898/,
2026-04-24T13:18:57.886243,50,I Swear,2025,8.4,tt31514146,https://www.imdb.com/title/tt31514146/,
2026-04-24T13:18:57.886243,51,The Odyssey,2026,,tt33764258,https://www.imdb.com/title/tt33764258/,
